datetime,Open,High,Low,Close,Volume
2025-04-25 09:15:00,815.0,818.8,812.5,818.55,145967
2025-04-25 09:16:00,818.8,819.0,816.05,816.05,78054
2025-04-25 09:17:00,815.8,815.8,814.5,815.45,53807
2025-04-25 09:18:00,815.5,816.05,814.5,814.75,67217
2025-04-25 09:19:00,814.65,814.8,813.5,813.6,44451
2025-04-25 09:20:00,813.6,813.6,812.05,812.2,61121
2025-04-25 09:21:00,812.3,812.3,810.8,811.3,82870
2025-04-25 09:22:00,811.35,811.35,809.1,810.5,90072
2025-04-25 09:23:00,810.5,811.0,809.5,809.5,54845
2025-04-25 09:24:00,809.5,810.35,809.35,809.9,55436
2025-04-25 09:25:00,809.8,809.8,808.35,809.45,63973
2025-04-25 09:26:00,809.35,811.5,809.25,811.05,44683
2025-04-25 09:27:00,811.0,812.0,811.0,811.8,35707
2025-04-25 09:28:00,811.5,812.45,811.35,812.15,35838
2025-04-25 09:29:00,812.1,812.15,810.95,810.95,41944
2025-04-25 09:30:00,810.95,811.15,809.85,809.85,42360
2025-04-25 09:31:00,809.85,810.65,808.5,808.55,50628
2025-04-25 09:32:00,809.0,809.55,808.05,808.3,42084
2025-04-25 09:33:00,808.45,808.9,808.2,808.65,26515
2025-04-25 09:34:00,808.6,808.65,807.75,807.95,50855
2025-04-25 09:35:00,807.6,808.0,807.05,807.95,32619
2025-04-25 09:36:00,808.0,808.7,807.6,807.95,31211
2025-04-25 09:37:00,808.0,808.0,806.45,807.0,50598
2025-04-25 09:38:00,806.9,807.4,806.5,807.35,43698
2025-04-25 09:39:00,807.5,807.95,807.05,807.1,26203
2025-04-25 09:40:00,807.05,807.65,806.65,807.1,39107
2025-04-25 09:41:00,807.35,807.7,806.55,806.65,38418
2025-04-25 09:42:00,806.85,807.0,806.2,806.45,31642
2025-04-25 09:43:00,806.65,807.6,806.15,807.45,33174
2025-04-25 09:44:00,807.65,807.65,806.7,806.95,14586
2025-04-25 09:45:00,806.95,807.35,806.2,806.8,38865
2025-04-25 09:46:00,806.5,806.65,805.5,805.65,41918
2025-04-25 09:47:00,805.5,805.9,805.05,805.05,34237
