Date,Open,High,Low,Close,Volume
2024-01-02,150.25,152.18,149.85,151.95,2456800
2024-01-03,151.88,153.42,150.75,152.88,1987600
2024-01-04,152.75,154.12,151.92,153.45,2134500
2024-01-05,153.20,154.85,152.88,154.22,1876300
2024-01-08,154.10,155.75,153.65,155.12,2089400
2024-01-09,155.05,156.28,154.42,155.88,1945200
2024-01-10,155.75,157.15,155.20,156.75,2234100
2024-01-11,156.68,158.02,156.10,157.45,2156800
2024-01-12,157.30,158.85,156.95,158.12,1998700
2024-01-16,158.05,159.48,157.62,158.95,2087500
2024-01-17,158.88,160.12,158.25,159.65,2145600
2024-01-18,159.52,161.05,159.10,160.28,2198400
2024-01-19,160.15,161.75,159.85,161.22,2034700
2024-01-22,161.10,162.55,160.75,161.88,1987300
2024-01-23,161.75,163.20,161.32,162.45,2156900
2024-01-24,162.35,163.85,161.95,163.12,2089600
2024-01-25,163.05,164.42,162.68,163.88,2134800
2024-01-26,163.75,165.15,163.25,164.55,2198700
2024-01-29,164.42,165.85,164.05,165.22,2076500
2024-01-30,165.15,166.48,164.78,165.95,2145300
