Datetime,Open,High,Low,Close,Volume,Symbol,EMA,RSI,Date,VWAP
2025-04-15 09:15:00,770.0,770.0,757.1,761.4,340759,SBIN,761.4,,2025-04-15,762.8333333333334
2025-04-15 09:16:00,762.0,763.9,761.9,763.5,74722,SBIN,761.68,,2025-04-15,762.8812918841857
2025-04-15 09:17:00,763.7,765.45,763.5,764.9,68749,SBIN,762.1093333333333,,2025-04-15,763.1276733163992
2025-04-15 09:18:00,765.1,766.5,764.5,764.9,83903,SBIN,762.4814222222222,,2025-04-15,763.4484867979858
2025-04-15 09:19:00,764.5,765.45,764.35,765.3,27769,SBIN,762.8572325925926,,2025-04-15,763.522340558235
2025-04-15 09:20:00,765.35,765.9,764.75,764.9,26174,SBIN,763.1296015802469,,2025-04-15,763.5922272359005
2025-04-15 09:21:00,764.8,766.4,764.8,766.4,38343,SBIN,763.5656547028807,,2025-04-15,763.7242779962419
2025-04-15 09:22:00,766.15,766.4,764.8,765.3,31915,SBIN,763.7969007424966,,2025-04-15,763.8061346835487
2025-04-15 09:23:00,765.3,765.5,764.75,765.2,23331,SBIN,763.9839806434971,,2025-04-15,763.8499452956341
2025-04-15 09:24:00,765.2,766.0,764.75,765.6,38502,SBIN,764.1994498910309,,2025-04-15,763.9316318534223
2025-04-15 09:25:00,765.7,765.85,763.8,764.0,32771,SBIN,764.1728565722268,,2025-04-15,763.9573829831576
2025-04-15 09:26:00,764.0,764.25,763.5,763.75,25592,SBIN,764.1164756959299,,2025-04-15,763.9534758306361
2025-04-15 09:27:00,763.75,764.8,763.55,764.8,62281,SBIN,764.207612269806,,2025-04-15,763.9840789610556
2025-04-15 09:28:00,764.85,767.1,764.75,766.05,62012,SBIN,764.4532639671652,70.12987012987031,2025-04-15,764.1153142411462
2025-04-15 09:29:00,766.2,766.9,765.45,766.5,55603,SBIN,764.7261621048765,71.2500000000003,2025-04-15,764.2367826081407
2025-04-15 09:30:00,766.7,768.0,766.6,766.7,49748,SBIN,764.989340490893,65.84158415841621,2025-04-15,764.3734578071096
2025-04-15 09:31:00,766.6,767.35,766.35,766.5,36010,SBIN,765.190761758774,58.98876404494397,2025-04-15,764.4522747045031
2025-04-15 09:32:00,766.75,766.8,766.0,766.6,21802,SBIN,765.3786601909375,59.4444444444447,2025-04-15,764.4922004613392
2025-04-15 09:33:00,766.9,767.0,765.7,765.9,22715,SBIN,765.4481721654791,53.225806451613,2025-04-15,764.5267534425165
2025-04-15 09:34:00,765.95,766.0,765.0,765.1,17038,SBIN,765.4017492100819,51.03092783505177,2025-04-15,764.5393093360263
2025-04-15 09:35:00,765.0,765.6,765.0,765.3,12162,SBIN,765.3881826487377,43.45238095238079,2025-04-15,764.5473408594431
2025-04-15 09:36:00,765.3,765.85,765.3,765.7,10336,SBIN,765.4297582955727,52.597402597403175,2025-04-15,764.5568505821102
2025-04-15 09:37:00,765.8,766.75,765.45,766.15,16464,SBIN,765.5257905228297,55.90062111801195,2025-04-15,764.5786379667107
2025-04-15 09:38:00,766.45,766.7,765.75,766.0,13083,SBIN,765.589018453119,52.5641025641024,2025-04-15,764.5958878454485
2025-04-15 09:39:00,766.15,766.2,765.95,766.0,22456,SBIN,765.6438159927031,66.1290322580644,2025-04-15,764.6227800105415
2025-04-15 09:40:00,765.95,766.6,765.8,766.6,22317,SBIN,765.7713071936761,71.75572519083964,2025-04-15,764.6536515502318
2025-04-15 09:41:00,766.8,767.45,766.35,767.45,25864,SBIN,765.9951329011859,70.86614173228374,2025-04-15,764.7034299439991
2025-04-15 09:42:00,767.45,767.85,766.55,767.4,29257,SBIN,766.1824485143611,63.106796116504555,2025-04-15,764.7614882346838
2025-04-15 09:43:00,767.45,768.45,767.2,768.25,50206,SBIN,766.4581220457796,65.76576576576525,2025-04-15,764.8814085767971
2025-04-15 09:44:00,768.65,768.65,767.35,767.5,34549,SBIN,766.5970391063423,56.557377049179806,2025-04-15,764.9555030284802
2025-04-15 09:45:00,767.5,768.35,767.5,767.9,21421,SBIN,766.7707672254967,61.11111111111081,2025-04-15,765.0008805044495
2025-04-15 09:46:00,768.05,768.15,767.15,768.15,22469,SBIN,766.9546649287638,62.015503875968555,2025-04-15,765.0454252307397
2025-04-15 09:47:00,767.75,768.15,767.45,768.0,15643,SBIN,767.094042938262,67.79661016949179,2025-04-15,765.0761590223352
2025-04-15 09:48:00,767.9,768.25,767.8,768.15,8016,SBIN,767.2348372131604,79.04761904761861,2025-04-15,765.0927602744817
2025-04-15 09:49:00,768.2,768.2,767.3,767.65,13707,SBIN,767.2901922514056,71.17117117117112,2025-04-15,765.1174334969028
2025-04-15 09:50:00,767.65,768.45,767.55,768.15,19335,SBIN,767.4048332845516,71.68141592920303,2025-04-15,765.1558222931155
2025-04-15 09:51:00,768.45,768.5,767.7,767.85,9974,SBIN,767.4641888466114,65.45454545454587,2025-04-15,765.1750113315553
2025-04-15 09:52:00,767.85,768.4,767.7,768.2,18884,SBIN,767.5622970003966,69.29824561403534,2025-04-15,765.2116911550839
2025-04-15 09:53:00,768.05,768.4,767.85,768.05,10716,SBIN,767.6273240670104,67.52136752136673,2025-04-15,765.2320994093359
2025-04-15 09:54:00,768.1,769.3,768.1,768.85,42407,SBIN,767.7903475247423,68.59504132231349,2025-04-15,765.3277909628257
2025-04-15 09:55:00,768.85,769.9,768.85,769.6,45098,SBIN,768.0316345214434,68.06722689075563,2025-04-15,765.4436833856678
2025-04-15 09:56:00,769.5,769.9,769.0,769.05,23740,SBIN,768.167416585251,62.79069767441811,2025-04-15,765.5001658738997
2025-04-15 09:57:00,769.25,769.55,768.9,768.9,16904,SBIN,768.2650943738842,55.652173913043164,2025-04-15,765.5373347086208
2025-04-15 09:58:00,768.75,768.95,767.95,767.95,9866,SBIN,768.2230817906997,53.781512605042366,2025-04-15,765.5537083394526
2025-04-15 09:59:00,768.0,768.75,767.6,768.2,24617,SBIN,768.2200042186064,52.58620689655228,2025-04-15,765.5922578403992
2025-04-15 10:00:00,768.45,768.45,767.45,767.9,10719,SBIN,768.1773369894589,47.86324786324791,2025-04-15,765.6071068022368
