datetime,Open,High,Low,Close,Volume,avg_prices,sma_close
2025-04-15 09:15:00,770.0,770.0,757.1,761.4,340759,764.625,
2025-04-15 09:16:00,762.0,763.9,761.9,763.5,74722,762.825,
2025-04-15 09:17:00,763.7,765.45,763.5,764.9,68749,764.3875,
2025-04-15 09:18:00,765.1,766.5,764.5,764.9,83903,765.25,
2025-04-15 09:19:00,764.5,765.45,764.35,765.3,27769,764.9000000000001,764.0
2025-04-15 09:20:00,765.35,765.9,764.75,764.9,26174,765.225,764.7
2025-04-15 09:21:00,764.8,766.4,764.8,766.4,38343,765.6,765.28
2025-04-15 09:22:00,766.15,766.4,764.8,765.3,31915,765.6624999999999,765.36
2025-04-15 09:23:00,765.3,765.5,764.75,765.2,23331,765.1875,765.42
2025-04-15 09:24:00,765.2,766.0,764.75,765.6,38502,765.3874999999999,765.4799999999999
2025-04-15 09:25:00,765.7,765.85,763.8,764.0,32771,764.8375000000001,765.3
2025-04-15 09:26:00,764.0,764.25,763.5,763.75,25592,763.875,764.7700000000001
2025-04-15 09:27:00,763.75,764.8,763.55,764.8,62281,764.2249999999999,764.67
2025-04-15 09:28:00,764.85,767.1,764.75,766.05,62012,765.6875,764.8399999999999
2025-04-15 09:29:00,766.2,766.9,765.45,766.5,55603,766.2625,765.0199999999999
2025-04-15 09:30:00,766.7,768.0,766.6,766.7,49748,767.0,765.56
2025-04-15 09:31:00,766.6,767.35,766.35,766.5,36010,766.7,766.11
2025-04-15 09:32:00,766.75,766.8,766.0,766.6,21802,766.5375,766.47
2025-04-15 09:33:00,766.9,767.0,765.7,765.9,22715,766.3750000000001,766.44
2025-04-15 09:34:00,765.95,766.0,765.0,765.1,17038,765.5124999999999,766.16
2025-04-15 09:35:00,765.0,765.6,765.0,765.3,12162,765.2249999999999,765.88
2025-04-15 09:36:00,765.3,765.85,765.3,765.7,10336,765.5374999999999,765.72
2025-04-15 09:37:00,765.8,766.75,765.45,766.15,16464,766.0375,765.63
2025-04-15 09:38:00,766.45,766.7,765.75,766.0,13083,766.225,765.65
2025-04-15 09:39:00,766.15,766.2,765.95,766.0,22456,766.075,765.83
2025-04-15 09:40:00,765.95,766.6,765.8,766.6,22317,766.2375000000001,766.0899999999999
2025-04-15 09:41:00,766.8,767.45,766.35,767.45,25864,767.0125,766.44
2025-04-15 09:42:00,767.45,767.85,766.55,767.4,29257,767.3125000000001,766.6899999999999
2025-04-15 09:43:00,767.45,768.45,767.2,768.25,50206,767.8375000000001,767.14
2025-04-15 09:44:00,768.65,768.65,767.35,767.5,34549,768.0375,767.4399999999999
2025-04-15 09:45:00,767.5,768.35,767.5,767.9,21421,767.8125,767.7
2025-04-15 09:46:00,768.05,768.15,767.15,768.15,22469,767.875,767.8399999999999
2025-04-15 09:47:00,767.75,768.15,767.45,768.0,15643,767.8375000000001,767.96
2025-04-15 09:48:00,767.9,768.25,767.8,768.15,8016,768.025,767.94
2025-04-15 09:49:00,768.2,768.2,767.3,767.65,13707,767.8375,767.9699999999999
2025-04-15 09:50:00,767.65,768.45,767.55,768.15,19335,767.9499999999999,768.02
2025-04-15 09:51:00,768.45,768.5,767.7,767.85,9974,768.125,767.96
2025-04-15 09:52:00,767.85,768.4,767.7,768.2,18884,768.0374999999999,768.0
2025-04-15 09:53:00,768.05,768.4,767.85,768.05,10716,768.0874999999999,767.9799999999999
2025-04-15 09:54:00,768.1,769.3,768.1,768.85,42407,768.5875,768.22
2025-04-15 09:55:00,768.85,769.9,768.85,769.6,45098,769.3,768.51
2025-04-15 09:56:00,769.5,769.9,769.0,769.05,23740,769.3625,768.75
2025-04-15 09:57:00,769.25,769.55,768.9,768.9,16904,769.15,768.89
2025-04-15 09:58:00,768.75,768.95,767.95,767.95,9866,768.4000000000001,768.87
2025-04-15 09:59:00,768.0,768.75,767.6,768.2,24617,768.1375,768.74
2025-04-15 10:00:00,768.45,768.45,767.45,767.9,10719,768.0625000000001,768.4
2025-04-15 10:01:00,767.9,767.95,767.6,767.7,6161,767.7874999999999,768.1299999999999
2025-04-15 10:02:00,767.75,767.95,767.5,767.5,13708,767.675,767.85
2025-04-15 10:03:00,767.6,767.6,767.15,767.2,17094,767.3875,767.7
2025-04-15 10:04:00,767.45,767.5,767.1,767.35,4681,767.35,767.53
2025-04-15 10:05:00,767.25,767.6,767.2,767.55,6339,767.4000000000001,767.46
2025-04-15 10:06:00,767.6,768.0,767.6,767.85,10275,767.7624999999999,767.49
2025-04-15 10:07:00,767.85,768.65,767.85,768.55,16630,768.2249999999999,767.7
2025-04-15 10:08:00,768.7,769.0,768.7,768.95,12714,768.8375000000001,768.05
2025-04-15 10:09:00,769.0,770.7,768.7,770.2,124296,769.6500000000001,768.6200000000001
